"Subject","issue_description","Case Summary","Issue Summary","resolution","Account Name","Case Number"
"Issue with Task related email alerts","Issue with Task related email alerts","The guest is experiencing an issue with setting up email alerts for tasks. Ritikesh offers to assist by suggesting a screen-sharing session to troubleshoot the problem.","Issue with setting up email alerts for tasks.","Issue was with how record id was passed to email alert in flow. cx was passing ID but they should use record.id

After making necessary changes, issue was resolved","Mitratech - UE","468717594"
"How do I subscript to Security Notifications?  Today, my co admins received an e","How do I subscript to Security Notifications?  Today, my co admins received an e","The conversation involved a system admin inquiring about subscribing to Security Notifications and addressing an email received about the deprecation of legacy features affecting Salesforce Outlook integration. The admin was advised to contact their M365 admin for necessary actions and further questions.","Inquiry about subscribing to Security Notifications and actions required due to deprecation of legacy features affecting Salesforce Outlook integration.","Based on related case #468628391, enabled 'Product and Service Notifications' checkbox for cx contact in org62: https://org62.lightning.force.com/lightning/r/Contact/0033y00002Pnp8iAAB/view","Corelation Inc","468754041"
"data import fail","data import fail","The guest encountered an error while importing contacts to a campaign. Ritikesh inquired about the details of the import process and suggested a screen-sharing session to troubleshoot the issue.","Error encountered during contact import to a campaign.","Issue : wrong mapping of email field
Resolution: Correct mapping resolved the error","Fairplay, Inc","468755625"
"I'm trying to give apex access to one of the profile and it's giving me this err","I'm trying to give apex access to one of the profile and it's giving me this err","The guest encountered an internal server error while trying to assign an apex class to a profile in Salesforce. Ritikesh provided a workaround by enabling 'Enhanced Permission Set Component Views' in the User Management Settings, which resolved the issue.","Internal server error when assigning apex class to a profile in Salesforce.","The issue was resolved by enabling 'Enhanced Permission Set Component Views' in the User Management Settings.","Ingersoll Rand Inc.*","468765574"
"Hi Team,  We are trying to setup DKIM keys in UAT sf instance. But it's not gett","Hi Team,  We are trying to setup DKIM keys in UAT sf instance. But it's not gett","The guest reported an issue with activating DKIM keys in the UAT instance. Ritikesh explained that the DNS changes might take 24-48 hours to propagate and provided steps for the IT team to follow. The guest confirmed that the CNAME was placed on the servers, and after granting login access, the activation was successful.","Issue with activating DKIM keys in UAT instance","The issue was resolved by waiting for DNS propagation and ensuring the CNAME was correctly placed, followed by successful activation.

https://automationchampion.com/2022/03/09/how-to-setup-dkim-key-in-salesforce-2/","Omnisys LLC","468767032"
"Salesforce inbox with EAC not working for 1 out of 11 reps.","Salesforce inbox with EAC not working for 1 out of 11 reps.","A user reported an issue with a new team member encountering an error screen in Outlook when trying to connect using the Salesforce add-in. The support agent suggested a screen-sharing session or provided a link to a help article for troubleshooting.","New team member encountering an error screen in Outlook with Salesforce add-in.","Support agent suggested a screen-sharing session or provided a help article for troubleshooting.","Milestone Internet Marketing*","468879696"
"not able to login in sandbox","not able to login in sandbox","The guest was unable to log in to the sandbox due to an issue with single sign-on. The support agent reset the password and confirmed that SSO was not enabled for the user's account. The guest was able to log in successfully after resetting the password.","Login issue with sandbox due to single sign-on error.","The support agent reset the password and confirmed that SSO was not enabled, allowing the guest to log in successfully.","Jaggaer","469057007"
"Our price book has 2 services with the same name but 2 different 18 digit id num","Our price book has 2 services with the same name but 2 different 18 digit id num","The guest had an issue with their price book containing two services with the same name but different ID numbers. They sought assistance on how to change historical work orders to one service and remove the other. The support team suggested a screenshare call and connected the guest with the sales team for further assistance.","Price book contains two services with the same name but different ID numbers.","Cx wanted to update the Service Record name. 
Helped customer updating the record name","Sabrina's Window Cleaning","469090856"
"I am trying to recreate flow from the existing process builder but need some gui","I am trying to recreate flow from the existing process builder but need some gui","The guest needed help converting a PB to flow and confirmed it was a new case, not related to an existing one. A screen-sharing session was initiated to troubleshoot the issue.","Help needed with converting a PB to flow.","Customer needed help migration PB to flow. Helped her through the steps she was confused in and it was resolved.","LI COR, Inc.***","469132321"
"Can we create picklist values in Global Picklist through integration","Can we create picklist values in Global Picklist through integration","The guest inquired about updating, adding, or deleting values in a 'Global Picklist' component through external systems via integration (SOAP, REST, or Heroku). The agent confirmed that it is not possible via API but suggested using the tooling API as a potential solution. The guest also asked about using an ETL tool like integrate.io, but the agent clarified that it wouldn't be possible to configure the metadata using such tools.","Updating 'Global Picklist' values through external systems.","The agent suggested using the tooling API as a potential solution.","Caterpillar Inc. - CRM Innovation","469152425"
"I need help with a flow to make it work on all records instead of the first one.","I need help with a flow to make it work on all records instead of the first one.","The guest reported an issue with an email alert flow for expiring opportunity close dates, which only sends an alert for the first record and returns an error when set to all records. The support agent suggested that the issue might be due to invalid or empty email fields in the records triggering the flow. The guest confirmed that the flow works fine when set to store only the first record. The support agent requested support access and the name of the flow to investigate further.","Email alert flow error when set to all records.","The support agent is investigating the issue further after requesting support access and the name of the flow.","Observer Media","469256843"
"Is there a way I can set some of my reps up for alerts if a team member of their","Is there a way I can set some of my reps up for alerts if a team member of their","The guest inquired about setting up alerts for team members when an opportunity they are on is modified. The support agent explained that notifications can be set up using the 'Send Email' Flow Action and can be customized for various types of updates. The guest requested a walkthrough on creating this flow, and the agent suggested a screen-sharing session for further assistance.","Setting up alerts for team members on opportunity modifications.","The support agent suggested using the 'Send Email' Flow Action and offered a screen-sharing session for detailed assistance.","Xactus","469257219"
"need to know more details on batch job","need to know more details on batch job","The guest inquired about obtaining details on a specific job ID and its associated class. The support agent suggested using a SOQL query to retrieve the information and requested login access to the guest's organization for testing. After some attempts and further discussion, they decided to connect via call to resolve the issue.","Guest needed details on a specific job ID and its associated class.","The support agent suggested using a SOQL query and requested login access to test and confirm the details.","Cyderes - Main","469290072"
"I have created a Button on the Opportunity object and cannot get it to display on the Opportunity page.  The button was created to send an email upon clicking and is titled, ""Request Trial Access.""","I have created a Button on the Opportunity object and cannot get it to display on the Opportunity page.  The button was created to send an email upon clicking and is titled, ""Request Trial Access.""","The guest created a button on the Opportunity object to send an email titled 'Request Trial Access' but could not get it to display on the Opportunity page. The support agent suggested a screen-sharing session to troubleshoot the issue.","Button on Opportunity object not displaying on the Opportunity page.","Custom actions that creates activity would appear under activity tab of record and it is working as designed","Yes Energy LLC","469292427"
"user only for connection with n8n","user only for connection with n8n","The guest is setting up an integration between Salesforce and n8n but is encountering issues querying standard objects like 'Lead' and 'Opportunity' through the API. They suspect the issue is related to permissions associated with the user profile 'Minimum Access - API Only Integrations'. The support team suggested using the Salesforce Integration API permission set license, but the guest still faced the same error. A screen-sharing session was proposed to troubleshoot further.","Issues querying 'Lead' and 'Opportunity' objects through the API with a limited user profile.","The Salesforce API Integration permission set license extends the functionality of the Salesforce Integration user license with many of the same user and object permissions typically available on the System Administrator standard profile. You can find and review the Salesforce API Integration permission set license on the Company Information page in Setup to see what it makes available. For more information, refer to this link: https://help.salesforce.com/s/articleView?id=sf.integration_user.htm&type=5

Since this user license was recently released on March 14, 2023, there is limited information published about what cannot be accessed under this user license. However, it is clearly mentioned that to increase the level of access for users on this profile, we need to assign a permission set with the Salesforce API Integration permission set license.

Here are some discussions confirming that access to standard objects can be achieved via the Salesforce API Integration license for integration users:

- Salesforce Stack Exchange Discussion: https://salesforce.stackexchange.com/questions/400073/trying-to-use-salesforce-integration-user-license-unable-to-access-accounts-et
- Apex Hours Article: https://www.apexhours.com/salesforce-integration-user-license/
- Trailblazer Community Discussion: https://trailhead.salesforce.com/trailblazer-community/feed/0D54V00007T3NeZSAV
- Salesforce Ideas: https://ideas.salesforce.com/s/idea/a0B8W00000ORD2pUAH/limit-access-for-the-salesforce-api-only-system-integrations-profile?_ga=2.161113213.1561011607.1722440348-787916158.1722410247","CLIMBER REVENUE STRATEGY, S.A.","469301693"
"Close Date missing error when creating renewal opportunity","Close Date missing error when creating renewal opportunity","The guest is having trouble creating renewal opportunities as the system indicates a missing close date despite inputting it. Ritikesh suggested a screen-sharing session to troubleshoot the issue.","trouble creating renewal opportunities due to missing close date error","There was a flow on opty causing the issue. Deactivating the flow resolved the issue for cx","Vasion","469303310"
"annual price uplift on quote","annual price uplift on quote","summary unavailable","issue unavailable","Cx went unresponsive","Support Revolution","469303311"
"Devops install issue","Devops install issue","summary unavailable","issue unavailable","cx ended the chat without any response.","Places for People Group Limited","469310305"
"How to bucket rows in sales reports with ""contains""","How to bucket rows in sales reports with ""contains""","summary unavailable","issue unavailable","using dashboard it is possible","Ross Video Limited","469312470"
"Flow error","Flow error","summary unavailable","Flow error on checkbox field","Set default value on the checkbox in flow and it worked","PMI Sports Inc.","469323085"
"Development Support: Help create New Apes Classes in sandbox","Development Support: Help create New Apes Classes in sandbox","The guest requested help with creating new Apex classes in the sandbox and mentioned facing many challenges. The support team checked for available developers and provided a Google Meet link for desktop sharing.","Challenges in creating new Apex classes in the sandbox","The support team connected the guest with a developer and provided a Google Meet link for further assistance.","EMasterSound","469332123"
"Help with transferring changes made in sandbox to the production org","Help with transferring changes made in sandbox to the production org","The conversation involved a customer seeking assistance with deploying changes from a sandbox to a production org. The support agent recommended using a change set or CLI tool and suggested a screen-sharing session to provide further assistance.","Customer needed help deploying changes from sandbox to production org.","Support agent recommended using a change set or CLI tool and arranged a screen-sharing session.","Forum for Collaborative Research/University of California Berkeley","469332367"
"I need help updating a  product that is found in our opportunity tabs and client campaigns","I need help updating a  product that is found in our opportunity tabs and client campaigns","The guest requested assistance with custom objects and how to modify them. The agent suggested a screen-sharing session to troubleshoot the issue collaboratively.","Assistance with custom objects and modification","Helped cx locating packages record and guided how to create custom fields","Dig Media Inc.","469442969"
"I'm challenged with creating a flow to update a field on a person account when it's corresponding field in the most recent opportunity also changes. We want statuses on the most recent opportunity to drive the Path we've setup on the Person Account.","I'm challenged with creating a flow to update a field on a person account when it's corresponding field in the most recent opportunity also changes. We want statuses on the most recent opportunity to drive the Path we've setup on the Person Account.","The guest is struggling to create a Flow to update a field on Person Accounts when an Opportunity field is updated. They have already created a record-triggered flow but need help with the nuances. The agent suggests a screen-sharing session to troubleshoot the issue.","Difficulty in creating a Flow to update a field on Person Accounts based on Opportunity field updates.","The agent suggested a screen-sharing session to collaboratively troubleshoot the issue. Helped cx creating a flow","Sunrise Detox","469458913"
"Must recompile apex classes after every managed package update or change set deploy.","Must recompile apex classes after every managed package update or change set deploy.","The guest has an issue with manually recompiling apex classes after each deployment, which is often forgotten by the team, leading to errors and blocking revenue data from entering the billing system. They are looking for a way to automate this recompilation process.","Manual recompilation of apex classes after each deployment causing errors and blocking revenue data.","The agent will investigate if there is any workaround to automate the recompilation process and suggested a call to discuss further.","ConstructConnect","469482297"
"Sandbox Deployment Pending","Sandbox Deployment Pending","The conversation involved a customer seeking support for Sandbox Deployment issues. The support agent suggested a screen-sharing session to collaboratively troubleshoot the issue.","Sandbox Deployment issues","The support agent suggested a screen-sharing session to collaboratively troubleshoot the issue.","StaffBot VMS (org 3)","469490866"
"Test class is not picking up records which are getting inserted using automation","Test class is not picking up records which are getting inserted using automation","The guest reported an issue with a test class failing due to no rows in an sObject. The agent confirmed the problem and suggested a screen-sharing session to troubleshoot the issue.","Test class is not picking up records which are getting inserted using automation.","The agent suggested a screen-sharing session to collaboratively troubleshoot the issue.","British Telecommunications PLC","469493438"
"admin sandbox login","admin sandbox login","The system administrator from Gannett needed help accessing an old sandbox as their credentials were no longer working. After some investigation, the support agent found the user's account and sent a new password via email, allowing the administrator to log in successfully.","Access to an old sandbox with non-working credentials.","The support agent found the user's account and sent a new password via email.","Gannett Supply Corporation","469525353"
"I'm not able to debug my flows, I get this error: Failed to load resource: the server responded with a status of 404 ()","I'm not able to debug my flows, I get this error: Failed to load resource: the server responded with a status of 404 ()","The guest was unable to debug their flows. A screen-sharing session was conducted to troubleshoot the issue, which was identified as a bug. Updates were shared via email.","Debugging flows","this is a Salesforce bug and our team is actively working on the fix. Please find the updates in the article mentioned below,

https://issues.salesforce.com/issue/a028c00000zkcQJAAY/~


In the meantime, please try the below workaround,


1. Filp Debug mode, if you enabled it please disable it, if you disabled it please enable it, here is the guide: https://help.salesforce.com/s/articleView?id=platform.aura_debug_mode.htm&type=5","ENEVA S.A.","469526928"
"Get to know how many Process builders & Workflow rules need to convert to flow in our org.","Get to know how many Process builders & Workflow rules need to convert to flow in our org.","summary unavailable","issue unavailable","dup of 469527300","Hancock Whitney Bank - Main","469527339"
"Flow error","Flow error","The guest encountered an error while working on a flow and sought assistance. The support agent identified that the error was due to a keyName containing subkey with only white spaces in the emailBody formula. The guest corrected the issue by adjusting the emailBody formula, which resolved the error.","Error in flow due to keyName containing subkey with only white spaces in emailBody formula.","The guest corrected the emailBody formula, which resolved the error.","Arch U.S. MI Services Inc.","469538758"
"API versions deprecation and ICU locale format update","API versions deprecation and ICU locale format update","The conversation focused on API version deprecation and ICU locale updates. The guest inquired about the necessity of updating API versions below 30 and the impact of ICU locale updates requiring API version 45 or higher. The support agent clarified that API deprecation affects only SOAP, REST, and Bulk APIs, not Apex classes, and provided guidance on identifying API usage. The guest also sought clarity on the potential impact of not updating to ICU formats.","API version deprecation and ICU locale updates","The support agent clarified the differences between API deprecation and ICU updates, provided guidance on identifying API usage, and advised on the importance of updating to avoid user confusion.","Koch Ag & Energy Solutions, LLC","469539917"
"Does deactivating flow in prod through CI/CD deployment requires APEX unit test coverage?","Does deactivating flow in prod through CI/CD deployment requires APEX unit test coverage?","The guest inquired about the necessity of APEX unit test coverage when deactivating a flow through CI/CD deployment. The support agent clarified that deactivating a flow does not require APEX unit test coverage as it is a metadata change. However, deploying a flow as active requires APEX code coverage if there is an APEX action in the flow.","Clarification on APEX unit test coverage requirements for flow deactivation and deployment.","The support agent explained that deactivating a flow does not require APEX unit test coverage, but deploying a flow as active does if it includes an APEX action.","Zillow, Inc.","469550216"
"access to sandboxes","access to sandboxes","The guest requested help with resetting passwords for two new sandboxes as they couldn't log in using their production password. The support agent sent new passwords via email, and the guest successfully accessed both sandboxes. The guest also inquired about logging into the new sandboxes without relying on support, and the agent suggested using the 'Forgot password' option.","Password reset for new sandboxes and login without support.","The support agent sent new passwords via email and suggested using the 'Forgot password' option for future logins.","Allegis Group, Inc.","469550603"
"Data management","Data management","The customer needed assistance organizing imported contacts into a campaign, specifically for Florida. The issue was identified as a lack of permission to create campaigns in their organization. The customer was advised to ask their system admin to grant 'Create' permission on their profile.","Customer unable to organize imported contacts into a campaign due to lack of permissions.","Customer was advised to ask their system admin to grant 'Create' permission on their profile.","Hope Africa Collective, Inc.","469576560"
"I need assistance determining why my test won't update through a flow.","I need assistance determining why my test won't update through a flow.","summary unavailable","issue unavailable","went on call and helped customer debugging the flow","Quartz Health Solutions, Inc.","469600583"
"Using Agentforce Dev assistant and it is giving code to a component called lightning-popover that I cannot find any info on - looks like popover only available in AURA not LWC ?","Using Agentforce Dev assistant and it is giving code to a component called lightning-popover that I cannot find any info on - looks like popover only available in AURA not LWC ?","The conversation revolves around resolving an issue with using the agentforce dev assistant, specifically related to integrating lightning-popover in a Lightning Web Component (LWC). The guest, experienced in Aura, is trying to implement a hover feature on a datatable field to display account details. The agent confirms that lightning-popover is an Aura component and suggests using lightning-overlay for LWC.","Issue with using agentforce dev assistant and integrating lightning-popover in LWC.","The agent confirmed that lightning-popover is an Aura component and suggested using lightning-overlay for LWC.","Reece Australia Pty LTD","469600900"
"need assistance with password reset","need assistance with password reset","The guest requested assistance with a password reset for a user who is a single sign-on user. Ritikesh asked for and received the necessary details, including the sandbox orgID and username, and then requested the full name of the user. Due to the large number of users, Ritikesh suggested a quick call to resolve the issue.","Password reset for a single sign-on user.","Ritikesh suggested a quick call to resolve the issue. On call suggested the user to disable the SSO temporarily then reset the password and enable the SSO back","G5 Search Marketing, Inc.","469609558"
"Scheduled Job - Product Service Campaign Batch is scheduled to run everyday, but we noticed that it is not running everyday. It runs once in every two months. Please help to check why the batch is not runnning everyday","Scheduled Job - Product Service Campaign Batch is scheduled to run everyday, but we noticed that it is not running everyday. It runs once in every two months. Please help to check why the batch is not runnning everyday","The conversation involves the agent confirming the end user's contact information and time zone. The agent identifies an issue with the execution of schedulable batch apex and suggests a screen-sharing session to troubleshoot the problem.","Issue with execution of schedulable batch apex.","created new list view in apex jobs in setup which showed that batch apex ran daily and cx was satisfied with the resoltuion","Yamaha Motor - Golf","469726742"
"Reference object limit exceeded. Need help to increase for time being. we are working on actively remove unnecessary field references on opportunity.","Reference object limit exceeded. Need help to increase for time being. we are working on actively remove unnecessary field references on opportunity.","The conversation involved the end user providing their contact information and discussing an issue related to a reference object limit exceeded on an opportunity. The agent suggested a quick call to resolve the issue and the end user agreed to receive a Webex link.","Reference object limit exceeded on opportunity","The limit was already 20 which is max and can't be increased further: https://help.salesforce.com/s/articleView?id=000382367&type=1

The customer used createdby.profileId which resolved the issue","Hackerrank","469760794"
"Help with finalizing Flow, but calculations are off.","Help with finalizing Flow, but calculations are off.","The end user requested assistance with a Flow that calculates two currency fields. The agent suggested a screen-sharing session to troubleshoot the issue. The session was conducted, and the agent concluded the chat by asking the end user to end the session if there were no further questions.","Assistance with a Flow calculating currency fields","The issue was addressed through a screen-sharing session.","(APHL) ASSOCIATION OF PUBLIC HEALTH LABORATORIES INC - 2nd org","469761043"
"Creating a sandbox continues to fail. I have received two emails stating: ""Please upgrade your Apex classes, Apex triggers, and custom Visualforce pages to API version 45.- or higher..."" It has been approximately 4 weeks since we first tried.","Creating a sandbox continues to fail. I have received two emails stating: ""Please upgrade your Apex classes, Apex triggers, and custom Visualforce pages to API version 45.- or higher..."" It has been approximately 4 weeks since we first tried.","The conversation revolves around resolving an issue related to upgrading API versions to ensure compatibility with ICU locale formats. The agent provides detailed steps for upgrading the API versions and suggests a screen-sharing session for further troubleshooting. The end user confirms the presence of outdated API versions and agrees to the screen-sharing session.","Inability to create a new sandbox due to outdated API versions.","The agent provided steps to upgrade the API versions and suggested a screen-sharing session for further assistance.","Tybo Contracting","469769666"
"Flow","Flow","The end user requested a screen share session to address questions about a design flow they were working on. The agent agreed to assist, and the session concluded with the end user expressing gratitude.","End user needed assistance with a design flow.","The agent provided help through a screen share session.","NSW Rural Doctors Network Ltd","469772028"
"Very hard to debug what's going on with campaign member flow and it's currently not wiping out the contact when new campaigns come in. Can you help?","Very hard to debug what's going on with campaign member flow and it's currently not wiping out the contact when new campaigns come in. Can you help?","The conversation revolves around an issue with the campaign member flow in Salesforce. The end user describes the flow's function and the problem of it not inputting information correctly. The agent suggests updating the status field on campaign members and proposes a screen-sharing session to troubleshoot further.","Issue with campaign member flow not inputting information correctly.","The agent proposed a screen-sharing session to collaboratively troubleshoot the issue. When checked on call. The flow was running. without any issue","Anaconda Inc.","469772961"
"I need help with apex","I need help with apex","The end user requested assistance with an Apex class and trigger issue. The agent suggested a screen-sharing session to troubleshoot the problem. The end user experienced microphone issues and requested a phone call. The issue was resolved over the phone.","Apex class and trigger issue causing an AsyncException error.","The issue was resolved through a phone call and screen-sharing session. 

Cx on call said, it is working and no longer throwing error and permitted to close the chat and case","American Hartford Gold Group LLC","469782155"
"I need a password reset the Sandbox.  When I use the forgot password process, it asks me for the city I was born in, but its telling me my answer is incorrect.","I need a password reset the Sandbox.  When I use the forgot password process, it asks me for the city I was born in, but its telling me my answer is incorrect.","The agent assisted the end user with resetting their password and updating their security question. The end user confirmed receipt of the password reset email and successfully completed the process.","Password reset and security question update.","The agent provided detailed instructions and confirmed the email delivery, leading to successful completion by the end user.","Independent Sector","469784429"
"I'm having an issues with a flow. my get records step is not setup correctly.  Find all Funding__c records where Id Equals {!RecordID} (006TO00000EoL1HYAV) Store the values of these fields in Get_Retreats: Id, Program_Engagement__c","I'm having an issues with a flow. my get records step is not setup correctly.  Find all Funding__c records where Id Equals {!RecordID} (006TO00000EoL1HYAV) Store the values of these fields in Get_Retreats: Id, Program_Engagement__c","The end user reported an issue with a flow where the 'get records' step was not set up correctly. The agent confirmed that the issue was related to a previous case and suggested a screen-sharing session to troubleshoot. The end user agreed to the screen-sharing session.","Issue with flow setup in Salesforce.","Screen-sharing session was agreed upon to troubleshoot the issue.","Youth Frontiers Inc","469793321"
"How do I update my Apex classes, triggers, and Visualforce pages to API version 45.0 or higher to ensure compatibility with the latest Salesforce features, particularly regarding ICU locale formats which require this API version to function properly.","How do I update my Apex classes, triggers, and Visualforce pages to API version 45.0 or higher to ensure compatibility with the latest Salesforce features, particularly regarding ICU locale formats which require this API version to function properly.","The end user sought assistance on updating Apex classes, triggers, and Visualforce pages to API version 45.0 or higher for Salesforce compatibility. The agent provided step-by-step instructions but the end user encountered difficulties due to managed installs. The agent suggested a call to resolve the issue.","Difficulty in updating Salesforce components to API version 45.0 or higher.","The agent suggested a call to provide further assistance.","Poretta & Orr, Inc.","469806470"
"While debugging a screen flow, continue to get:Error Occurred: This error occurred when the flow tried to create records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: Loan Program: bad value for restricted picklist field: Standard Rehab Loan.","While debugging a screen flow, continue to get:Error Occurred: This error occurred when the flow tried to create records: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: Loan Program: bad value for restricted picklist field: Standard Rehab Loan.","The conversation involved the end user requesting a screenshare session and providing their phone number and time zone. The agent initially sent an incorrect link and then provided a new one. There was a brief disconnection, after which the end user confirmed their connection was fine and requested to reconnect.","Screenshare session setup and connection issues.","The agent provided a new link for the screenshare session.","Top Level Funding","469808032"
"We had our Apex character limit increased in our production environment.  Can we also get it increased in our UAT and Staging environments?","We had our Apex character limit increased in our production environment.  Can we also get it increased in our UAT and Staging environments?","The end user requested an increase in the Apex character limit for UAT and Staging environments to match the production environment. The agent requested case numbers and sandbox org IDs to proceed. The end user provided the necessary information and granted login access. The agent confirmed that the request would be reviewed by the backend team.","Request to increase Apex character limit in UAT and Staging environments.","The agent will review the request with the backend team and update the end user via case comments.","ACV Auctions Inc.","469822305"
"I need help with  Flow Formula to implement alerts emails for expired opportunities","I need help with  Flow Formula to implement alerts emails for expired opportunities","The assistant of Anna requested help with implementing alert emails for expired opportunities using Flow Formula. The agent suggested a screen-sharing session to troubleshoot the issue.","Assistance needed with Flow Formula for alert emails.","The agent proposed a screen-sharing session to resolve the issue.","Esp Safety, Inc.","469835327"
"I am trying to preview components locally in vscode by right clicking on the file - SFDX:Preview Component Locally. I got SFDX: Preview Component Locally failed to run.  I also got To run this command, install the @salesforce/lwc-dev-mobile plugin","I am trying to preview components locally in vscode by right clicking on the file - SFDX:Preview Component Locally. I got SFDX: Preview Component Locally failed to run.  I also got To run this command, install the @salesforce/lwc-dev-mobile plugin","The end user experienced an error while running the command SFDX:Preview Component Locally and encountered another error when attempting to install the plugin @salesforce/lwc-dev-server. The agent advised setting up Android Studio or Xcode to initialize a virtual device for mobile preview. The end user decided to set up the required software and close the session, planning to return if further assistance is needed.","Error running SFDX command and installing plugin.","The agent advised setting up Android Studio or Xcode to resolve the issue.","Zillow, Inc.","469845618"
"Your organization (ICMA-RC) has reached its hourly limit for processing workflow time triggers. Processing will resume in the next hour. For information on application limits, see the Salesforce online help. But i dont know which is the environmnebt","Your organization (ICMA-RC) has reached its hourly limit for processing workflow time triggers. Processing will resume in the next hour. For information on application limits, see the Salesforce online help. But i dont know which is the environmnebt","The conversation involves troubleshooting a limit hit error related to workflow time triggers in Salesforce. The agent requests contact information and suggests a screen-sharing session to resolve the issue.","Limit hit error for processing workflow time triggers in Salesforce.","cx raised a separate ticket with Relevant team to increase the limit.","MissionSquare Retirement, HQ","469845898"
"Still having issues creating records. Ref Case #469808032","Still having issues creating records. Ref Case #469808032","The EndUser requested the agent to refer to a specific case and contact a person. The agent acknowledged the request and proceeded to assist by sending a link.","Request for case reference and contact","The agent agreed to check and provided a link.","Top Level Funding","469847305"
"There seems to be an issue when updating current versions in flows. Sometimes, an update can be made and saved as same version. Other times, save is not available and a new version of the flow needs to be created. I?ve tried hard refreshes and incognito.","There seems to be an issue when updating current versions in flows. Sometimes, an update can be made and saved as same version. Other times, save is not available and a new version of the flow needs to be created. I?ve tried hard refreshes and incognito.","The end user inquired about a potential bug related to saving a current version of a flow. The agent clarified that the 'Save' button being disabled typically indicates no pending changes and suggested using the 'Save As' option. The end user mentioned making changes that were acknowledged by the system but still faced issues saving. The agent explained that deactivating an active flow requires saving it as a new version.","Difficulty saving changes to a flow.","The agent explained the need to use the 'Save As' option when deactivating an active flow.","Top Level Funding","469856884"
"Is it possible to pull the field description text via API? For example, in the object manager if I select 'Opportunity' object and go to a specific field in that object, there is a description for that field.","Is it possible to pull the field description text via API? For example, in the object manager if I select 'Opportunity' object and go to a specific field in that object, there is a description for that field.","The conversation involved the agent assisting the end user in fetching field descriptions via API. The agent provided a specific SOQL query and guided the end user through using Salesforce Workbench to execute the query. The end user expressed gratitude for the assistance.","Fetching field description via API","The agent provided a SOQL query and instructions on using Salesforce Workbench to fetch the field description.","Jama Software, Inc.","469857107"
"Access token invalid error","Access token invalid error","The end user inquired about pasting an image in the chat window, which the agent informed was not possible. The agent suggested posting the image on the H&T portal and provided a case number. The end user mentioned an 'Access Token Invalid' error and agreed to hop on a call for further assistance.","Access Token Invalid error and inability to paste images in the chat window","The agent suggested posting the image on the H&T portal and offered to resolve the error over a call

On call, advised the cx to reach out to Twilio support as the error stemed out from there","SourceMedia LLC dba Arizent (Subscription)","469858183"
"I need help with the Get Records element in a flow.","I need help with the Get Records element in a flow.","The end user inquired about the get records element in a flow and requested a screen share. The agent agreed to share the link for the screen share.","Inquiry about the get records element in a flow.","The agent agreed to share the screen share link and assisted cx on call","Texas Child Mental Health Care Consortium (TCMHCC)","469858977"
"In our Salesforce Org, we have a signed certificate which is going to expire next week. We have created a new signed certificate and assigned it to the Identity Provider settings and it's active. Now I can see the old Certificate is still active.","In our Salesforce Org, we have a signed certificate which is going to expire next week. We have created a new signed certificate and assigned it to the Identity Provider settings and it's active. Now I can see the old Certificate is still active.","The conversation revolves around the expiration of a signed certificate in a Salesforce Org and the steps to manage it. The end user inquires about deleting the old certificate, checking its references, and managing notification emails for certificate expiration. The agent provides guidance on these issues and confirms the steps with a senior colleague.","Managing expired certificates and notification emails in Salesforce Org.","The agent advised on deleting the old certificate, checking its references, and configuring notification settings.","New Tradition","469882491"
"Encountering Component errors from Managed Packages on most of the lightning pages where we used Managed Packages.  Message: Uncaught Error in $A.getCallback() [Cannot read properties of undefined (reading 'split')] Callback failed: apex://tspa.InviteTec","Encountering Component errors from Managed Packages on most of the lightning pages where we used Managed Packages.  Message: Uncaught Error in $A.getCallback() [Cannot read properties of undefined (reading 'split')] Callback failed: apex://tspa.InviteTec","The agent and the end user exchanged pleasantries and contact information. The agent acknowledged the issue with a managed package component and suggested a screen-sharing session for troubleshooting. The end user agreed to the screen-sharing session.","Error with a component from a managed package.","The agent proposed a screen-sharing session to troubleshoot the issue.","XYLEM","469883468"
"Need to login to new snadbox, but could not login because of SSO is preventing to set new password","Need to login to new snadbox, but could not login because of SSO is preventing to set new password","The end user faced an issue logging into a sandbox due to SSO being enabled. The agent suggested disabling SSO temporarily to reset the password. The end user agreed, and the agent submitted an internal request to disable SSO. The issue was resolved, and the end user was able to log in.","Login issue due to SSO enabled in sandbox.","SSO was temporarily disabled to reset the password.","HBF Health Limited","469884465"
"Testing Devops center in a hands on org from Trailhead but there is no app that gets created.","Testing Devops center in a hands on org from Trailhead but there is no app that gets created.","The end user faced an issue with setting up a DevOps package in a Trailhead org, which did not create an app as expected. The agent suggested using a developer edition org instead and provided relevant documentation.","Issue with setting up DevOps package in Trailhead org.","The agent recommended using a developer edition org and provided documentation.","Girtz Industries Inc","469893195"
"Request to speak to a Salesforce Agent","Request to speak to a Salesforce Agent","The end user requested assistance with migrating data from a report to leads. The agent connected the user to an expert team and provided a link for further assistance.","Data migration from report to leads","The agent connected the user to an expert team and provided a link for further assistance.Assisted the customer on call to import the lead records and guided him how he can mass delete contact and account records via data loader","Superior Turnkey Solutions Group, Inc.","469894842"
